player,nation_code,position,age,club,league,birth_year,goals,assists,matches_played,minutes,nationality
Thomas Partey,GHA,"MF,DF",31,Arsenal,ENG-Premier League,1993,4,2,35,2797,Ghana
Antoine Semenyo,GHA,MF,24,Bournemouth,ENG-Premier League,2000,11,5,37,3203,Ghana
Dango Ouattara,BFA,"MF,FW",22,Bournemouth,ENG-Premier League,2002,7,4,32,2005,Burkina Faso
Bryan Mbeumo,CMR,"MF,FW",24,Brentford,ENG-Premier League,1999,20,7,38,3414,Cameroon
Frank Onyeka,NGA,MF,26,Brentford,ENG-Premier League,1998,0,0,2,25,Nigeria
Yoane Wissa,COD,FW,27,Brentford,ENG-Premier League,1996,19,4,35,2919,DR Congo
Carlos Baleba,CMR,MF,20,Brighton,ENG-Premier League,2004,3,1,34,2661,Cameroon
Simon Adingra,CIV,MF,22,Brighton,ENG-Premier League,2002,2,2,29,1097,Ivory Coast
Tariq Lamptey,GHA,"DF,MF",23,Brighton,ENG-Premier League,2000,2,2,15,860,Ghana
Nicolas Jackson,SEN,FW,23,Chelsea,ENG-Premier League,2001,10,5,30,2220,Senegal
Chadi Riad,MAR,DF,21,Crystal Palace,ENG-Premier League,2003,0,0,1,90,Morocco
Cheick Doucouré,MLI,MF,24,Crystal Palace,ENG-Premier League,2000,0,0,13,452,Mali
Ismaila Sarr,SEN,MF,26,Crystal Palace,ENG-Premier League,1998,8,6,38,2711,Senegal
Jeffrey Schlupp,GHA,"DF,FW",31,Crystal Palace,ENG-Premier League,1992,0,0,12,103,Ghana
Jordan Ayew,GHA,"FW,MF",32,Crystal Palace,ENG-Premier League,1991,0,0,1,21,Ghana
Abdoulaye Doucouré,MLI,MF,31,Everton,ENG-Premier League,1993,3,2,33,2564,Mali
Beto,GNB,FW,26,Everton,ENG-Premier League,1998,8,0,30,1534,Guinea-Bissau
Idrissa Gana Gueye,SEN,MF,34,Everton,ENG-Premier League,1989,0,3,37,3063,Senegal
Iliman Ndiaye,SEN,"MF,FW",24,Everton,ENG-Premier League,2000,9,0,33,2430,Senegal
Alex Iwobi,NGA,MF,28,Fulham,ENG-Premier League,1996,9,6,38,2981,Nigeria
Calvin Bassey,NGA,DF,24,Fulham,ENG-Premier League,1999,1,0,35,3074,Nigeria
Issa Diop,MAR,DF,27,Fulham,ENG-Premier League,1997,0,0,21,1339,Morocco
Martial Godo,CIV,"FW,MF",21,Fulham,ENG-Premier League,2003,0,0,2,24,Ivory Coast
Axel Tuanzebe,COD,DF,26,Ipswich Town,ENG-Premier League,1997,0,1,22,1710,DR Congo
Sam Morsy,EGY,MF,32,Ipswich Town,ENG-Premier League,1991,1,1,33,2751,Egypt
Abdul Fatawu Issahaku,GHA,"MF,FW",20,Leicester City,ENG-Premier League,2004,0,2,11,579,Ghana
Bilal El Khannouss,MAR,MF,20,Leicester City,ENG-Premier League,2004,2,3,32,2182,Morocco
Jordan Ayew,GHA,MF,32,Leicester City,ENG-Premier League,1991,5,0,30,1638,Ghana
Patson Daka,ZAM,"MF,FW",25,Leicester City,ENG-Premier League,1998,1,0,23,736,ZAM
Wilfred Ndidi,NGA,MF,27,Leicester City,ENG-Premier League,1996,0,5,28,2324,Nigeria
Woyo Coulibaly,MLI,DF,25,Leicester City,ENG-Premier League,1999,0,0,4,109,Mali
Mohamed Salah,EGY,MF,32,Liverpool,ENG-Premier League,1992,29,18,38,3371,Egypt
Omar Marmoush,EGY,"MF,FW",25,Manchester City,ENG-Premier League,1999,7,0,16,1175,Egypt
Amad Diallo,CIV,"MF,FW",22,Manchester Utd,ENG-Premier League,2002,8,6,26,1901,Ivory Coast
André Onana,CMR,GK,28,Manchester Utd,ENG-Premier League,1996,0,0,34,3060,Cameroon
Noussair Mazraoui,MAR,"DF,MF",26,Manchester Utd,ENG-Premier League,1997,0,1,37,2838,Morocco
Ibrahim Sangaré,CIV,MF,26,Nottingham Forest,ENG-Premier League,1997,0,1,13,590,Ivory Coast
Ola Aina,NGA,DF,27,Nottingham Forest,ENG-Premier League,1996,2,1,35,2995,Nigeria
Taiwo Awoniyi,NGA,FW,26,Nottingham Forest,ENG-Premier League,1997,1,0,26,416,Nigeria
Willy Boly,CIV,DF,33,Nottingham Forest,ENG-Premier League,1991,0,0,6,150,Ivory Coast
Joe Aribo,NGA,MF,28,Southampton,ENG-Premier League,1996,3,0,32,2013,Nigeria
Kamaldeen Sulemana,GHA,"FW,MF",22,Southampton,ENG-Premier League,2002,1,1,26,1402,Ghana
Maxwel Cornet,CIV,MF,27,Southampton,ENG-Premier League,1996,0,0,2,72,Ivory Coast
Paul Onuachu,NGA,FW,30,Southampton,ENG-Premier League,1994,4,1,25,1050,Nigeria
Pape Matar Sarr,SEN,MF,21,Tottenham Hotspur,ENG-Premier League,2002,3,2,36,1913,Senegal
Yves Bissouma,MLI,MF,27,Tottenham Hotspur,ENG-Premier League,1996,2,0,28,1408,Mali
Aaron Wan-Bissaka,COD,"DF,MF",26,West Ham United,ENG-Premier League,1997,2,5,36,3154,DR Congo
Mohammed Kudus,GHA,"MF,FW",23,West Ham United,ENG-Premier League,2000,5,3,32,2590,Ghana
Boubacar Traoré,MLI,MF,22,Wolves,ENG-Premier League,2001,0,0,1,1,Mali
Emmanuel Agbadou,CIV,DF,27,Wolves,ENG-Premier League,1997,1,0,16,1410,Ivory Coast
Mario Lemina,GAB,"MF,DF",30,Wolves,ENG-Premier League,1993,1,3,17,1364,Gabon
Marshall Munetsi,ZIM,"MF,FW",28,Wolves,ENG-Premier League,1996,2,1,14,1078,Zimbabwe
Nasser Djiga,BFA,DF,21,Wolves,ENG-Premier League,2002,0,0,5,66,Burkina Faso
Rayan Aït-Nouri,ALG,"MF,DF",23,Wolves,ENG-Premier League,2001,4,7,37,3109,Algeria
Abde Rebbach,ALG,"MF,FW",25,Alavés,ESP-La Liga,1998,0,0,8,385,Algeria
Abdel Abqar,MAR,DF,25,Alavés,ESP-La Liga,1999,0,1,29,2463,Morocco
Moussa Diarra,MLI,DF,23,Alavés,ESP-La Liga,2000,0,0,26,1866,Mali
Iñaki Williams,GHA,"MF,FW",30,Athletic Club,ESP-La Liga,1994,6,8,35,2652,Ghana
Maroan Sannadi,MAR,FW,23,Athletic Club,ESP-La Liga,2001,1,1,16,754,Morocco
Álvaro djaló,GNB,"MF,FW",24,Athletic Club,ESP-La Liga,1999,1,0,17,659,Guinea-Bissau
Reinildo Mandava,MOZ,"DF,MF",30,Atlético Madrid,ESP-La Liga,1994,0,0,19,941,Mozambique
Ilaix Moriba,GUI,MF,21,Celta Vigo,ESP-La Liga,2003,1,1,33,2132,Guinea
Jonathan Bamba,CIV,"MF,FW",28,Celta Vigo,ESP-La Liga,1996,0,1,12,811,Ivory Coast
Joseph Aidoo,GHA,DF,28,Celta Vigo,ESP-La Liga,1995,0,0,1,2,Ghana
Omar El Hilali,MAR,DF,20,Espanyol,ESP-La Liga,2003,0,2,36,3153,Morocco
Walid Cheddira,MAR,FW,26,Espanyol,ESP-La Liga,1998,1,1,22,640,Morocco
Allan Nyom,CMR,"MF,DF",36,Getafe,ESP-La Liga,1988,1,2,20,887,Cameroon
Christantus Uche,NGA,"FW,MF",21,Getafe,ESP-La Liga,2003,4,6,33,2486,Nigeria
Djené,TOG,"DF,MF",32,Getafe,ESP-La Liga,1991,0,0,31,2548,Togo
Ismael Bekhoucha,MAR,DF,19,Getafe,ESP-La Liga,2004,0,0,5,69,Morocco
Aboubacar Bassinga,BFA,MF,19,Las Palmas,ESP-La Liga,2005,0,0,1,4,Burkina Faso
Duk,CPV,MF,24,Leganés,ESP-La Liga,2000,0,0,10,179,CPV
Munir El Haddadi,MAR,"MF,FW",28,Leganés,ESP-La Liga,1995,4,0,25,862,Morocco
Seydouba Cissé,GUI,MF,23,Leganés,ESP-La Liga,2001,3,1,34,2435,Guinea
Sébastien Haller,CIV,FW,30,Leganés,ESP-La Liga,1994,0,0,8,404,Ivory Coast
Yan Diomandé,CIV,MF,17,Leganés,ESP-La Liga,2006,2,1,10,545,Ivory Coast
Yvan Neyou,CMR,MF,27,Leganés,ESP-La Liga,1997,1,1,30,2312,Cameroon
Enzo Boyomo,CMR,DF,22,Osasuna,ESP-La Liga,2001,2,0,34,2987,Cameroon
Abdul Mumin,GHA,DF,26,Rayo Vallecano,ESP-La Liga,1998,2,1,24,2017,Ghana
Etienne Eto'o,CMR,FW,21,Rayo Vallecano,ESP-La Liga,2002,0,0,2,40,Cameroon
Pathé Ciss,SEN,"MF,DF",30,Rayo Vallecano,ESP-La Liga,1994,4,1,33,2140,Senegal
Randy Nteka,ANG,FW,26,Rayo Vallecano,ESP-La Liga,1997,3,0,24,1129,Angola
Abde Ezzalzouli,MAR,MF,22,Real Betis,ESP-La Liga,2001,2,2,32,1984,Morocco
Assane Diao,SEN,FW,18,Real Betis,ESP-La Liga,2005,1,2,10,277,Senegal
Cédric Bakambu,COD,FW,33,Real Betis,ESP-La Liga,1991,2,2,25,710,DR Congo
Nobel Mendy,SEN,DF,19,Real Betis,ESP-La Liga,2004,0,0,2,108,Senegal
Youssouf Sabaly,SEN,DF,31,Real Betis,ESP-La Liga,1993,0,1,22,1581,Senegal
Brahim Díaz,MAR,"MF,FW",24,Real Madrid,ESP-La Liga,1999,4,2,31,1385,Morocco
Hamari Traoré,MLI,DF,32,Real Sociedad,ESP-La Liga,1992,0,1,11,700,Mali
Nayef Aguerd,MAR,DF,28,Real Sociedad,ESP-La Liga,1996,0,0,21,1760,Morocco
Umar Sadiq,NGA,FW,27,Real Sociedad,ESP-La Liga,1997,0,0,7,227,Nigeria
Akor Adams,NGA,FW,24,Sevilla,ESP-La Liga,2000,0,0,4,134,Nigeria
Chidera Ejuke,NGA,"MF,FW",26,Sevilla,ESP-La Liga,1998,2,1,25,966,Nigeria
Kelechi Iheanacho,NGA,FW,27,Sevilla,ESP-La Liga,1996,0,0,9,400,Nigeria
Mouctar Diakhaby,GUI,DF,27,Valencia,ESP-La Liga,1996,2,0,13,653,Guinea
Umar Sadiq,NGA,FW,27,Valencia,ESP-La Liga,1997,5,0,16,825,Nigeria
Abdulai Juma Bah,SLE,DF,18,Valladolid,ESP-La Liga,2006,0,0,12,864,Sierra Leone
Adam Aznou,MAR,"DF,MF",18,Valladolid,ESP-La Liga,2006,0,0,13,876,Morocco
Amath,SEN,"FW,MF",28,Valladolid,ESP-La Liga,1996,0,1,13,375,Senegal
Anuar,MAR,"MF,FW",29,Valladolid,ESP-La Liga,1995,2,0,26,1720,Morocco
Enzo Boyomo,CMR,DF,22,Valladolid,ESP-La Liga,2001,0,0,3,270,Cameroon
Ibrahim Alani,NGA,MF,18,Valladolid,ESP-La Liga,2006,0,0,3,160,Nigeria
Joseph Aidoo,GHA,DF,28,Valladolid,ESP-La Liga,1995,0,0,8,583,Ghana
Mamadou Sylla,SEN,"FW,MF",30,Valladolid,ESP-La Liga,1994,5,1,29,1583,Senegal
Selim Amallah,MAR,MF,27,Valladolid,ESP-La Liga,1996,3,1,24,1376,Morocco
Eric Bailly,CIV,DF,30,Villarreal,ESP-La Liga,1994,0,0,12,617,Ivory Coast
Ilias Akhomach,MAR,MF,20,Villarreal,ESP-La Liga,2004,1,0,11,584,Morocco
